,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0
2020-09-23 14:01:00,1.5,-1.5,-1.5,0.0,-1.5,1.0,1.5,-0.5,-1.0,1.5,-1.0,0.5
2020-09-23 14:02:00,1.6666666666666667,-1.6666666666666667,-1.6666666666666667,0.3333333333333333,-1.3333333333333333,0.6666666666666666,2.0,0.0,-0.6666666666666666,1.6666666666666667,-0.6666666666666666,0.6666666666666666
2020-09-23 14:03:00,1.75,-2.0,-2.0,0.75,-1.5,0.75,2.5,0.25,-0.75,1.5,-0.5,0.75
2020-09-23 14:04:00,2.0,-2.4,-2.2,0.8,-1.6,0.8,2.6,0.2,-0.8,1.2,-0.2,1.0
2020-09-23 14:05:00,2.3333333333333335,-2.6666666666666665,-2.3333333333333335,1.0,-1.5,0.8333333333333334,2.8333333333333335,0.0,-1.0,1.0,0.0,1.0
2020-09-23 14:06:00,2.4285714285714284,-2.857142857142857,-2.5714285714285716,1.0,-1.5714285714285714,1.0,3.0,-0.2857142857142857,-1.0,0.8571428571428571,0.0,1.1428571428571428
2020-09-23 14:07:00,2.375,-3.0,-2.625,0.875,-1.625,1.0,3.0,-0.375,-1.0,0.875,-0.125,1.125
2020-09-23 14:08:00,2.2222222222222223,-3.2222222222222223,-2.6666666666666665,0.8888888888888888,-1.7777777777777777,1.0,3.111111111111111,-0.3333333333333333,-0.8888888888888888,0.8888888888888888,-0.2222222222222222,1.0
2020-09-23 14:09:00,2.0,-3.3,-2.8,0.8,-1.8,0.9,3.1,-0.2,-0.9,1.0,-0.3,0.9
2020-09-23 14:10:00,1.8181818181818181,-3.3636363636363638,-3.0,0.7272727272727273,-1.9090909090909092,0.8181818181818182,3.0,0.0,-0.8181818181818182,1.0,-0.36363636363636365,0.7272727272727273
