"Limon", 323.52, 840
"Palta", 1180.99, 372
"Lima", 1392.21, 206
"Mandarina", 24.12, 1160
"Lima", 969.82, 238
"Pera", 153.98, 800
"Lechuga", 30.73, 720
"Pera", 131.96, 940
"Pomelo", 51.06, 810
"Batata", 24.98, 1040
"Caqui", 751.20, 96
"Durazno", 148.34, 872
"Acelga", 16.49, 738
"Lechuga", 34.65, 882
"Lima", 1201.37, 206
"Mandarina", 22.16, 810
"Manzana", 140.31, 930
"Esparrago", 639.46, 214
"Ciruela", 945.87, 1026
"Caqui", 855.19, 87
"Durazno", 185.69, 952
"Acelga", 22.74, 909
"Durazno", 136.77, 872
"Brocoli", 399.01, 360
"Durazno", 276.06, 680
"Tomate", 751.76, 855
"Frutilla", 257.88, 336
"Cereza", 1021.80, 214
"Kiwi", 466.51, 384
"Pomelo", 55.73, 954
"Mandarina", 19.68, 980
"Frutilla", 291.17, 246
"Pera", 142.39, 1140
"Batata", 21.93, 970
"Naranja", 16.06, 810
"Calabaza", 17.86, 920
"Berenjena", 56.09, 642
"Caqui", 828.31, 81
"Caqui", 806.56, 93
"Choclo", 40.02, 333
"Lima", 1339.01, 240
"Brocoli", 346.91, 352
"Esparrago", 594.05, 182
"Cebolla", 66.30, 904
"Kinoto", 28.51, 186
"Kinoto", 33.63, 228
"Palta", 482.15, 590
"Lima", 1435.68, 220
"Mandarina", 17.37, 860
"Ajo", 924.56, 92
"Palta", 1156.29, 444
"Choclo", 58.86, 249
"Brocoli", 316.75, 444
"Palta", 510.77, 500
"Mandarina", 16.41, 850
"Kiwi", 395.42, 340
"Durazno", 181.24, 800
"Lima", 1408.63, 204
"Mandarina", 23.20, 960
"Champignon", 3666.50, 94
"Champignon", 3544.07, 101
"Frambuesa", 2015.53, 85
"Cereza", 1008.56, 228
"Berenjena", 53.29, 516
"Rabanito", 211.16, 306
"Esparrago", 609.16, 172
"Batata", 14.52, 940
"Choclo", 48.14, 267
"Banana", 61.63, 880
"Batata", 23.05, 1120
"Frambuesa", 2072.72, 98
"Tomate", 736.24, 837
"Palta", 476.91, 550
"Tomate", 800.43, 1053
"Kiwi", 400.36, 452
"Pera", 131.35, 800
"Tomate", 764.52, 909
"Uva", 700.20, 252
"Frutilla", 291.71, 264
"Melon", 104.41, 328
"Zanahoria", 32.16, 606
"Zanahoria", 28.38, 558
"Naranja", 8.22, 930
"Zuccini", 83.53, 690
"Kinoto", 35.09, 208
"Melon", 103.69, 480
"Brocoli", 370.18, 344
"Pomelo", 46.30, 828
"Lima", 1023.28, 160
"Ciruela", 993.08, 1035
"Palta", 475.93, 545
"Naranja", 12.31, 810
"Champignon", 3598.74, 81
"Pepino", 44.33, 490
"Rabanito", 242.32, 255
"Frutilla", 294.62, 333
"Brocoli", 329.27, 404
"Manzana", 138.89, 1130
"Durazno", 158.49, 672
"Naranja", 7.75, 890
"Batata", 9.00, 1090
"Champignon", 3563.67, 107
"Lima", 1203.74, 174
"Morron", 2998.91, 702
"Esparrago", 641.02, 234
"Tomate", 738.56, 765
"Cebolla", 63.40, 640
"Banana", 63.74, 1140
"Lima", 1318.17, 230
"Esparrago", 597.40, 222
"Higo", 2479.15, 104
"Tomate", 756.96, 963
"Palta", 495.74, 460
"Mandarina", 23.65, 840
"Ciruela", 991.57, 963
"Lima", 1003.28, 212
"Lechuga", 36.67, 927
"Morron", 2951.00, 480
"Lima", 1328.81, 178
"Manzana", 136.91, 1040
"Alcachofa", 137.17, 348
"Durazno", 199.63, 960
"Limon", 306.46, 679
"Esparrago", 652.81, 182
"Caqui", 847.68, 120
"Mandarina", 10.95, 1150
"Champignon", 3670.77, 112
"Mandarina", 14.21, 1170
"Durazno", 141.60, 952
"Rabanito", 238.37, 315
"Apio", 60.44, 327
"Limon", 333.62, 679
"Kiwi", 442.48, 452
"Lechuga", 41.88, 999
"Sandia", 49.79, 990
"Uva", 735.63, 252
"Pera", 148.54, 930
"Alcachofa", 138.93, 345
"Apio", 43.43, 333
"Cereza", 1010.45, 182
"Repollo", 5.74, 826
"TomCherry", 514.12, 238
"Lechuga", 44.89, 1026
"Pepino", 49.98, 485
"Papa", 15.35, 940
"Naranja", 13.42, 990
"Lechuga", 38.12, 927
"Brocoli", 350.52, 396
"Manzana", 149.83, 800
"Caqui", 821.78, 112
"Manzana", 140.10, 910
"Durazno", 246.91, 808
"Manzana", 144.86, 900
"Palta", 454.03, 485
"Lima", 1178.84, 198
"Pepino", 38.07, 575
"Mandarina", 27.64, 810
"Banana", 64.78, 1020
"Rabanito", 239.10, 321
"Kinoto", 27.95, 180
"Naranja", 16.44, 970
"Calabaza", 15.45, 960
"Zanahoria", 25.94, 492
"Caqui", 831.09, 86
"Palta", 1125.84, 368
"Choclo", 57.44, 249
"Cebolla", 71.97, 696
"Durazno", 144.28, 824
"Palta", 471.65, 500
"Limon", 330.71, 840
"Choclo", 43.22, 276
"Pepino", 36.39, 450
"Cereza", 1108.84, 206
"Zuccini", 94.15, 636
"Zanahoria", 36.51, 600
"Pera", 131.75, 1200
"Palta", 512.01, 495
"Kinoto", 25.14, 228
"Kiwi", 404.50, 340
"Durazno", 165.56, 704
"Lima", 1013.65, 190
"Lima", 1398.76, 206
"Uva", 722.37, 324
"Durazno", 144.38, 784
"Kiwi", 423.98, 468
"Pera", 163.41, 980
"Kinoto", 35.62, 172
"Ciruela", 985.26, 756
"Calabaza", 19.72, 808
"Pomelo", 53.93, 1026
"Pera", 147.90, 1140
"Rabanito", 223.99, 324
"Frambuesa", 2008.14, 118
"TomCherry", 560.87, 224
"Naranja", 12.77, 1050
"Mandarina", 16.77, 1060
"Frambuesa", 1984.37, 118
"Berenjena", 62.53, 516
"Zanahoria", 35.85, 504
"Apio", 61.53, 357
"Coliflor", 32.80, 460
"Brocoli", 368.72, 404
"TomCherry", 542.36, 216
"Lima", 1041.27, 232
"Ajo", 896.63, 83
"Caqui", 820.80, 97
"Berenjena", 51.63, 498
"Durazno", 255.38, 704
"Zanahoria", 38.91, 516
"Durazno", 151.18, 688
"Berenjena", 65.50, 606
"Manzana", 150.27, 950
"Caqui", 868.72, 116
"Banana", 63.34, 830
"Apio", 51.16, 255
"Banana", 78.39, 990
"Durazno", 168.16, 640
"Mandarina", 14.03, 960
"Kiwi", 438.19, 424
"Sandia", 59.38, 729
"Lechuga", 33.42, 1071
"Mandarina", 16.75, 890
"Rabanito", 238.79, 282
"Mandarina", 22.55, 870
"Uva", 712.35, 240
"Pomelo", 46.72, 1062
"Uva", 712.00, 255
"Apio", 62.30, 330
"Lima", 1385.94, 228
"Higo", 2543.42, 110
"Repollo", 6.25, 819
"Durazno", 184.36, 928
"Coliflor", 33.51, 480
"Repollo", 0.69, 756
"Higo", 2477.66, 114
"Frutilla", 281.91, 279
"Calabaza", 14.67, 888
"Cebolla", 70.43, 800
"Ajo", 935.04, 102
"Lima", 1398.99, 210
"Kiwi", 452.58, 392
"Melon", 105.87, 472
"Rabanito", 222.07, 333
"Pepino", 46.80, 450
"Cereza", 1064.46, 234
"Banana", 51.09, 1120
"Esparrago", 593.86, 200
"Alcachofa", 149.34, 348
"Repollo", 6.45, 665
"Palta", 459.40, 565
"Lima", 1238.81, 188
"Palta", 1139.31, 332
"Alcachofa", 155.01, 333
"Pera", 161.03, 850
"Lima", 1282.62, 226
"Lima", 1069.76, 200
"Alcachofa", 154.29, 264
"Batata", 18.01, 860
"Lima", 1329.17, 160
"Banana", 65.22, 830
"Durazno", 136.25, 656
"Pomelo", 33.85, 846
"Cereza", 1058.61, 182
"Melon", 106.11, 452
"Acelga", 20.71, 945
"Palta", 1117.45, 328
"Manzana", 134.07, 1170
"Brocoli", 384.65, 396
"Rabanito", 242.47, 351
"Pomelo", 41.34, 765
"Kiwi", 440.02, 428
"Durazno", 165.19, 936
"Frutilla", 310.04, 306
"Caqui", 852.86, 85
"Pera", 152.16, 1090
"Frutilla", 282.16, 291
"Banana", 65.93, 880
"Cebolla", 57.36, 768
"Kiwi", 448.22, 468
"Palta", 1118.70, 452
"Ajo", 1002.41, 120
"Alcachofa", 147.10, 318
"Cebolla", 61.33, 960
"Ajo", 953.98, 84
"TomCherry", 534.49, 166
"Champignon", 3651.27, 83
"Morron", 2959.25, 714
"Durazno", 266.65, 840
"Higo", 2482.63, 83
"Ciruela", 1010.51, 729
"Cebolla", 59.50, 816
"Sandia", 47.19, 882
"Batata", 20.10, 950
"Kiwi", 462.47, 392
"Melon", 98.43, 352
"Durazno", 193.85, 880
"Lima", 1008.73, 192
"Ciruela", 938.95, 918
"Coliflor", 30.42, 490
"Durazno", 138.18, 728
"Zanahoria", 26.27, 510
"Durazno", 151.83, 832
"Zuccini", 79.73, 672
"Brocoli", 369.02, 364
"Limon", 320.46, 735
"Cebolla", 60.06, 656
"Durazno", 141.51, 952
"Pepino", 32.54, 590
"Cebolla", 67.84, 952
"Frutilla", 277.67, 345
"Palta", 483.67, 595
"Kiwi", 389.60, 460
"Calabaza", 23.46, 736
"Kiwi", 469.15, 328
"Ciruela", 945.74, 963
"Papa", 15.82, 910
"Mandarina", 11.68, 1090
"Calabaza", 20.35, 744
"Mandarina", 20.34, 1140
"Rabanito", 220.32, 318
"Cereza", 1070.24, 170
"Papa", 12.50, 880
"Calabaza", 19.52, 664
"Higo", 2481.07, 80
"Pepino", 26.89, 580
"Repollo", 0.92, 833
"Lechuga", 32.89, 873
"Sandia", 71.40, 855
"Banana", 59.04, 860
"Lechuga", 39.82, 783
"Frutilla", 310.89, 285
"Cereza", 1082.95, 202
"Higo", 2502.37, 92
"Tomate", 700.80, 855
"Ajo", 913.45, 110
"Banana", 79.45, 1180
"TomCherry", 500.15, 216
"Palta", 497.76, 510
"Kiwi", 459.01, 348
"Ciruela", 954.04, 999
"Repollo", 3.12, 693
"Uva", 695.08, 261
"Mandarina", 13.35, 840
"Palta", 1122.01, 432
"Papa", 21.45, 820
"Durazno", 149.73, 792
"Papa", 16.27, 930
"Acelga", 25.01, 900
"Morron", 2994.15, 660
"Limon", 329.06, 721
"Naranja", 7.77, 820
"Cereza", 1064.98, 214
"Lechuga", 42.43, 954
"Zanahoria", 44.87, 618
"Durazno", 263.20, 928
"Tomate", 715.73, 927
"Rabanito", 216.15, 246
"Banana", 54.46, 850
"Pomelo", 50.76, 918
"Esparrago", 603.86, 170
"Cereza", 1044.39, 194
"Ajo", 895.58, 94
"Kiwi", 435.79, 400
"Kinoto", 35.91, 222
"Melon", 89.09, 332
"Uva", 701.10, 357
"Lechuga", 35.84, 1044
"Naranja", 17.91, 1000
"Manzana", 158.58, 1050
"Morron", 2944.74, 612
"Lechuga", 32.36, 1026
"Rabanito", 231.58, 294
"Ajo", 815.84, 84
"Lima", 1340.46, 220
"Mandarina", 19.59, 1150
"Lima", 1063.98, 216
"Uva", 711.85, 255
"Limon", 306.41, 798
"Esparrago", 651.83, 238
"Naranja", 24.05, 830
"Esparrago", 645.74, 204
"Batata", 15.13, 910
"Lima", 1310.35, 212
"Morron", 3026.66, 654
"Champignon", 3626.82, 110
"Esparrago", 642.24, 210
"Durazno", 265.87, 704
"Lima", 1170.85, 162
"Tomate", 702.73, 783
"Limon", 319.42, 840
"Cebolla", 76.59, 704
"Tomate", 800.90, 1044
"Lima", 1193.18, 236
"Alcachofa", 151.38, 288
"Higo", 2494.48, 116
"Cereza", 997.83, 198
"Zanahoria", 30.92, 600
"Lechuga", 35.15, 765
"Coliflor", 23.75, 560
"Durazno", 152.56, 832
"Batata", 22.10, 930
"TomCherry", 527.05, 238
"Cebolla", 57.27, 896
"Durazno", 183.33, 760
"Lima", 1379.65, 232
"Acelga", 14.05, 837
"Frutilla", 301.21, 246
"Limon", 317.85, 602
"Pepino", 38.51, 565
"Sandia", 59.32, 900
"Manzana", 138.20, 920
"Rabanito", 221.38, 276
"Pepino", 38.77, 470
"Morron", 2991.40, 714
"Papa", 13.60, 910
"Limon", 345.95, 637
"Esparrago", 631.38, 210
"Berenjena", 60.68, 612
"Esparrago", 639.77, 162
"Kinoto", 30.82, 230
"Cebolla", 67.13, 792
"Frambuesa", 1974.34, 97
"Palta", 506.24, 595
"Lima", 1333.09, 176
"Limon", 305.16, 623
"Repollo", 4.09, 812
"Esparrago", 622.24, 212
"Banana", 78.09, 810
"Limon", 309.28, 602
"Lima", 1218.87, 164
"Papa", 21.31, 860
"Melon", 105.09, 364
"Cereza", 1064.79, 216
"Repollo", 6.50, 588
"Melon", 116.79, 444
"Limon", 332.72, 637
"Frutilla", 303.63, 348
"Batata", 16.14, 1020
